EAR: 0.2463993811381076, Frame Count: 0
EAR: 0.2435197757396356, Frame Count: 0
EAR: 0.25784189217559916, Frame Count: 0
EAR: 0.25619206871071304, Frame Count: 0
EAR: 0.2633166039755657, Frame Count: 0
EAR: 0.26741613872015546, Frame Count: 0
EAR: 0.25089473337870466, Frame Count: 0
EAR: 0.16092817229766482, Frame Count: 0
EAR: 0.1860413232440617, Frame Count: 0
EAR: 0.16704441726986594, Frame Count: 0
EAR: 0.1359627869223094, Frame Count: 0
EAR: 0.15248091587897755, Frame Count: 0
EAR: 0.18004744667068612, Frame Count: 0
EAR: 0.21417830278408712, Frame Count: 0
EAR: 0.22649263033023048, Frame Count: 0
EAR: 0.20381118843253887, Frame Count: 0
EAR: 0.17997952729630007, Frame Count: 0
EAR: 0.2043678465428438, Frame Count: 0
EAR: 0.1501750728436229, Frame Count: 0
EAR: 0.16402955974023187, Frame Count: 0
EAR: 0.1486751038548042, Frame Count: 0
EAR: 0.1911279855867986, Frame Count: 0
EAR: 0.17058770735735407, Frame Count: 0
EAR: 0.18012944792358343, Frame Count: 0
EAR: 0.20458633077201546, Frame Count: 0
EAR: 0.1909890514812056, Frame Count: 0
EAR: 0.1854324948658437, Frame Count: 0
EAR: 0.1845689345842002, Frame Count: 0
EAR: 0.19077581268641453, Frame Count: 0
EAR: 0.18310553773527202, Frame Count: 0
EAR: 0.15922739756994336, Frame Count: 0
EAR: 0.18510072461400434, Frame Count: 0
EAR: 0.19717220194678037, Frame Count: 0
EAR: 0.16590392652452735, Frame Count: 0
EAR: 0.1491464870439237, Frame Count: 0
EAR: 0.18204781236926165, Frame Count: 0
EAR: 0.15843637546394468, Frame Count: 0
EAR: 0.15791165258927956, Frame Count: 0
EAR: 0.18212553515998456, Frame Count: 0
EAR: 0.14680277357096688, Frame Count: 0
EAR: 0.08633942798897493, Frame Count: 1
EAR: 0.14507961726188112, Frame Count: 0
EAR: 0.1522874284316289, Frame Count: 0
EAR: 0.17202312367077832, Frame Count: 0
EAR: 0.1695535387415944, Frame Count: 0
EAR: 0.2640028868370202, Frame Count: 0
EAR: 0.2643181515011989, Frame Count: 0
EAR: 0.23592950356662418, Frame Count: 0
EAR: 0.19256045218217538, Frame Count: 0
EAR: 0.20306211505369964, Frame Count: 0
EAR: 0.21798464696052977, Frame Count: 0
EAR: 0.19038581768920784, Frame Count: 0
EAR: 0.21441402309189497, Frame Count: 0
EAR: 0.22407159533383175, Frame Count: 0
EAR: 0.2140060402101486, Frame Count: 0
EAR: 0.19452381222558035, Frame Count: 0
EAR: 0.2199628769315008, Frame Count: 0
EAR: 0.2155841021701051, Frame Count: 0
EAR: 0.20721025616776945, Frame Count: 0
EAR: 0.19319089845324594, Frame Count: 0
EAR: 0.19902758255072672, Frame Count: 0
EAR: 0.1959595717035955, Frame Count: 0
EAR: 0.19189540477276196, Frame Count: 0
EAR: 0.1888345689021017, Frame Count: 0
EAR: 0.23014961117421123, Frame Count: 0
EAR: 0.22397596707103312, Frame Count: 0
EAR: 0.2090146143371725, Frame Count: 0
EAR: 0.17476247143659782, Frame Count: 0
EAR: 0.16110978218355054, Frame Count: 0
EAR: 0.1809000415546843, Frame Count: 0
EAR: 0.16809795157893204, Frame Count: 0
EAR: 0.23943797463309757, Frame Count: 0
EAR: 0.19679888577452875, Frame Count: 0
EAR: 0.1987397837233349, Frame Count: 0
EAR: 0.18177762236678918, Frame Count: 0
EAR: 0.2369377165210866, Frame Count: 0
EAR: 0.17718274734156364, Frame Count: 0
EAR: 0.21852635785741453, Frame Count: 0
EAR: 0.18762522909906493, Frame Count: 0
EAR: 0.1645262556168624, Frame Count: 0
EAR: 0.16492549131482803, Frame Count: 0
EAR: 0.20094426102714966, Frame Count: 0
EAR: 0.12887926169726385, Frame Count: 0
EAR: 0.16599558702249714, Frame Count: 0
EAR: 0.20454646498758705, Frame Count: 0
EAR: 0.20748748326241906, Frame Count: 0
EAR: 0.1872499646778992, Frame Count: 0
EAR: 0.15794949743399633, Frame Count: 0
EAR: 0.26941047690884845, Frame Count: 0
EAR: 0.22533605209996835, Frame Count: 0
EAR: 0.302417928155263, Frame Count: 0
EAR: 0.27271236107267943, Frame Count: 0
EAR: 0.27868226671811136, Frame Count: 0
EAR: 0.3078116750239772, Frame Count: 0
EAR: 0.269307054521384, Frame Count: 0
EAR: 0.300992490455466, Frame Count: 0
EAR: 0.2767084193137062, Frame Count: 0
EAR: 0.13323158369048937, Frame Count: 0
