EAR: 0.21686510128437575, Frame Count: 0
EAR: 0.19245886269467832, Frame Count: 1
EAR: 0.23633654200758702, Frame Count: 0
EAR: 0.14248370023855517, Frame Count: 1
EAR: 0.21643022760280162, Frame Count: 0
EAR: 0.24059111450289494, Frame Count: 0
EAR: 0.34243628013925964, Frame Count: 0
EAR: 0.22896937262763156, Frame Count: 0
EAR: 0.3478548885514853, Frame Count: 0
EAR: 0.14682819101501818, Frame Count: 1
EAR: 0.19645146773854755, Frame Count: 2
EAR: 0.14888122495814038, Frame Count: 3
EAR: 0.24818078789094192, Frame Count: 0
EAR: 0.18068276559582225, Frame Count: 1
EAR: 0.10256724654254937, Frame Count: 2
EAR: 0.13737378261384034, Frame Count: 3
EAR: 0.3271543354512967, Frame Count: 0
EAR: 0.18801216022829192, Frame Count: 1
EAR: 0.3058691915026327, Frame Count: 0
EAR: 0.2817411730952952, Frame Count: 0
EAR: 0.22932344949651384, Frame Count: 0
EAR: 0.3005866102904664, Frame Count: 0
EAR: 0.24229414965918522, Frame Count: 0
EAR: 0.2935198551437891, Frame Count: 0
EAR: 0.2225257029599751, Frame Count: 0
EAR: 0.32177833514530785, Frame Count: 0
EAR: 0.34872145997972115, Frame Count: 0
EAR: 0.3478098335669605, Frame Count: 0
EAR: 0.1861206039024197, Frame Count: 1
EAR: 0.16976529176311847, Frame Count: 2
EAR: 0.15169245443017382, Frame Count: 3
EAR: 0.14636284279301648, Frame Count: 4
EAR: 0.14111490696052537, Frame Count: 5
EAR: 0.2730816959869703, Frame Count: 0
EAR: 0.24374246064070176, Frame Count: 0
EAR: 0.21601306287803126, Frame Count: 0
EAR: 0.2189987347779212, Frame Count: 0
EAR: 0.2417843616317692, Frame Count: 0
EAR: 0.18371641257770693, Frame Count: 1
EAR: 0.20321070581344397, Frame Count: 0
EAR: 0.25062813016790025, Frame Count: 0
EAR: 0.2197030638198398, Frame Count: 0
EAR: 0.24084895670304957, Frame Count: 0
EAR: 0.24570912425380403, Frame Count: 0
EAR: 0.2581209645982967, Frame Count: 0
EAR: 0.2850584815506128, Frame Count: 0
EAR: 0.2322570834295937, Frame Count: 0
EAR: 0.22323770654800446, Frame Count: 0
EAR: 0.1876460664161061, Frame Count: 1
EAR: 0.21937485241632976, Frame Count: 0
EAR: 0.21256615697994824, Frame Count: 0
EAR: 0.2080940814961575, Frame Count: 0
EAR: 0.2086585399223183, Frame Count: 0
EAR: 0.22111993511001765, Frame Count: 0
EAR: 0.1774215630186754, Frame Count: 1
EAR: 0.19132802406809246, Frame Count: 2
EAR: 0.1740094955608144, Frame Count: 3
EAR: 0.14698675264971384, Frame Count: 4
EAR: 0.1976113291731545, Frame Count: 5
EAR: 0.2611074824707679, Frame Count: 0
EAR: 0.21739456296927098, Frame Count: 0
EAR: 0.24693134334839195, Frame Count: 0
EAR: 0.15811230407614052, Frame Count: 1
EAR: 0.19273694832636662, Frame Count: 2
EAR: 0.19238797031679664, Frame Count: 3
EAR: 0.16025390691504643, Frame Count: 4
EAR: 0.2093787039396935, Frame Count: 0
EAR: 0.20896785864301728, Frame Count: 0
EAR: 0.20128252957947795, Frame Count: 0
EAR: 0.2417671213855439, Frame Count: 0
EAR: 0.20614459467933058, Frame Count: 0
EAR: 0.2231089331092237, Frame Count: 0
EAR: 0.21797412327343105, Frame Count: 0
EAR: 0.19537215710893643, Frame Count: 1
EAR: 0.25179528656666816, Frame Count: 0
EAR: 0.22449385666385835, Frame Count: 0
EAR: 0.25762488631236796, Frame Count: 0
EAR: 0.22442367401531613, Frame Count: 0
EAR: 0.27318418752968576, Frame Count: 0
EAR: 0.2515049928400439, Frame Count: 0
EAR: 0.24105175137386559, Frame Count: 0
EAR: 0.25750585300452383, Frame Count: 0
EAR: 0.2213540590626819, Frame Count: 0
EAR: 0.22560147127607671, Frame Count: 0
EAR: 0.25593256717648305, Frame Count: 0
EAR: 0.23900956560045467, Frame Count: 0
EAR: 0.24979499249008344, Frame Count: 0
EAR: 0.2619775749797822, Frame Count: 0
EAR: 0.22851979526599636, Frame Count: 0
EAR: 0.25627156522539973, Frame Count: 0
EAR: 0.28366402226742826, Frame Count: 0
EAR: 0.251870691647795, Frame Count: 0
EAR: 0.26686332662809004, Frame Count: 0
EAR: 0.24258597209479066, Frame Count: 0
EAR: 0.25951925850853674, Frame Count: 0
EAR: 0.24715533722530736, Frame Count: 0
EAR: 0.20887350003607996, Frame Count: 0
EAR: 0.2760976436408371, Frame Count: 0
EAR: 0.2708582593627952, Frame Count: 0
EAR: 0.26336395745292257, Frame Count: 0
EAR: 0.23823534453031445, Frame Count: 0
EAR: 0.18047506219230575, Frame Count: 1
EAR: 0.2653504233339387, Frame Count: 0
